Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic
United States,Miles Robinson,CB,73,72,38,54,56,76,78
United States,Tim Ream,CB,73,68,42,58,56,72,74
United States,Haji Wright,ST,73,76,74,60,68,28,76
United States,Joe Scally,"RB,CB",72,74,48,62,62,68,68
United States,Maximilian Arfsten,CB,70,70,42,56,56,70,72
United States,Matt Freese,GK,70,46,11,42,44,11,64
United States,Chris Brady,GK,68,44,11,40,42,11,62
United States,Alex Freeman,"CM,RM,CDM,RW",68,72,56,64,62,52,62
United States,Sebastian Berhalter,"CM, RM, CDM, RW",67,71,54,66,67,65,71
Uruguay,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,88,84,84,84,83,85
Uruguay,José María Giménez,CB,83,72,50,67,68,85,84
Uruguay,Ronald Araújo,"CB, RB",83,82,52,58,64,86,84
Uruguay,Giorgian de Arrascaeta,"CAM, LW",82,76,74,76,80,36,64
Uruguay,Nicolás de la Cruz,"CAM, CM",81,74,68,74,78,46,64
Uruguay,Sergio Rochet,GK,80,52,11,44,46,11,72
Uruguay,Rodrigo Bentancur,"CM, CDM",80,72,60,76,76,70,76
Uruguay,Fernando Muslera,GK,79,46,11,42,44,11,68
Uruguay,Manuel Ugarte,CDM,79,76,52,72,72,82,80
Uruguay,Joaquín Piquerez,LB,79,78,48,62,66,70,70
Uruguay,Rodrigo Zalazar,"CM, CAM",79,72,64,70,72,50,68
Uruguay,Darwin Núñez,"ST, LW",79,91,84,70,80,28,80
Uruguay,Emiliano Martínez,GK,78,56,13,50,52,13,76
Uruguay,Mathías Olivera,LB,78,80,52,66,70,72,72
Uruguay,Santiago Mele,GK,77,50,11,42,44,11,70
Uruguay,Matías Viña,LB,77,76,52,68,66,70,70
Uruguay,Rodrigo Aguirre,"ST, LW",77,78,72,60,72,28,68
Uruguay,Maximiliano Araújo,"LW, RW",77,86,72,66,80,30,66
Uruguay,Sebastián Cáceres,CB,77,68,38,52,54,76,76
Uruguay,Agustín Canobbio,"LW, RW",76,80,68,64,74,30,66
Uruguay,Santiago Bueno,CB,76,72,38,54,56,78,78
Uruguay,Brian Rodríguez,"LW, RW",76,82,66,60,74,28,66
Uruguay,Juan Manuel Sanabria,"ST, CF",75,72,68,56,66,28,72
Uruguay,Guillermo Varela,RB,75,74,48,60,64,66,68
Uruguay,Facundo Pellistri,"RW, LW",73,86,68,66,78,32,68
Uruguay,Federico Viñas,ST,72,68,70,54,62,26,74
Uzbekistan,Abdukodir Khusanov,CB,77,85,39,59,64,77,76
Uzbekistan,Eldor Shomurodov,"ST, CAM",74,79,71,64,75,40,66
Uzbekistan,Jaloliddin Masharipov,"CAM, LW",73,74,64,66,72,34,62
Uzbekistan,Oston Urunov,"CM,CAM",72,70,60,68,66,50,62
Uzbekistan,Otabek Shukurov,"CDM, CM",71,68,52,62,62,66,68
Uzbekistan,Rustamjon Ashurmatov,"CB,RB",71,70,44,58,56,70,72
Uzbekistan,Sherzod Nasrullaev,"LW,CAM",70,76,62,66,68,36,60
Uzbekistan,Farrukh Sayfiev,"CB,RB",70,68,42,56,54,70,72
Uzbekistan,Khojiakbar Alijonov,CB,70,66,40,54,52,70,72
Uzbekistan,Akmal Mozgovoy,"LB,LM",69,72,46,60,58,66,68
Uzbekistan,Umarbek Eshmuradov,"LW,ST",69,74,62,62,64,30,62
Uzbekistan,Dostonbek Khamdamov,"CM,CDM",69,64,48,62,58,62,66
Uzbekistan,Azizbek Ganiev,"CM,CDM",68,64,46,62,58,62,66
Uzbekistan,Jamshid Iskanderov,"RB,RM",68,72,46,58,58,64,66
Uzbekistan,Azizbek Amonov,"RW,RM",68,74,60,62,62,32,58
Uzbekistan,Odiljon Hamrobekov,"CDM,CM",68,64,46,62,58,64,68
Uzbekistan,Abdulla Abdullaev,"RW,LW",68,74,60,62,64,32,58
Uzbekistan,Avazbek Ulmasaliev,"ST,LW",68,72,62,58,60,28,62
Uzbekistan,Abduvohid Nematov,"CM,CDM",68,64,46,62,58,62,66
Uzbekistan,Utkir Yusupov,GK,68,44,11,40,42,11,62
Uzbekistan,Jasur Yakhshiboev,"LW,ST",68,74,62,62,64,30,62
Uzbekistan,Jakhongir Urozov,"CM,CDM",67,62,44,60,56,62,66
Uzbekistan,Bekhruz Karimov,LB,67,68,42,54,52,64,66
Uzbekistan,Sherzod Esanov,CB,67,64,38,52,50,66,68
Uzbekistan,Igor Sergeev,GK,66,42,10,38,40,10,60
Uzbekistan,Abbosbek Fayzullaev,"CAM, CM",65,65,62,67,66,48,53
